::1 - - [11/Sep/2020:21:40:42 +0000] "POST /api/saveCategory HTTP/1.1" 200 349 "-" "PostmanRuntime/7.26.3"
::1 - - [11/Sep/2020:21:41:23 +0000] "POST /api/saveCategory HTTP/1.1" 200 349 "-" "PostmanRuntime/7.26.3"
::1 - - [11/Sep/2020:21:41:41 +0000] "POST /api/saveCategory HTTP/1.1" 200 53 "-" "PostmanRuntime/7.26.3"
::1 - - [11/Sep/2020:21:41:58 +0000] "POST /api/saveCategory HTTP/1.1" 200 349 "-" "PostmanRuntime/7.26.3"
::1 - - [11/Sep/2020:21:42:12 +0000] "POST /api/saveCategory HTTP/1.1" 200 53 "-" "PostmanRuntime/7.26.3"
::1 - - [11/Sep/2020:21:42:18 +0000] "POST /api/saveCategory HTTP/1.1" 200 477 "-" "PostmanRuntime/7.26.3"
::1 - - [11/Sep/2020:21:43:42 +0000] "POST /api/saveCategory HTTP/1.1" 200 51 "-" "PostmanRuntime/7.26.3"
::1 - - [11/Sep/2020:21:43:47 +0000] "POST /api/saveCategory HTTP/1.1" 200 53 "-" "PostmanRuntime/7.26.3"
::1 - - [11/Sep/2020:21:43:57 +0000] "POST /api/saveCategory HTTP/1.1" 200 78 "-" "PostmanRuntime/7.26.3"
::1 - - [11/Sep/2020:21:44:32 +0000] "POST /api/saveCategory HTTP/1.1" 200 25 "-" "PostmanRuntime/7.26.3"
::1 - - [11/Sep/2020:21:45:17 +0000] "POST /api/saveCategory HTTP/1.1" 200 25 "-" "PostmanRuntime/7.26.3"
::1 - - [11/Sep/2020:21:45:51 +0000] "POST /api/saveCategory HTTP/1.1" 200 78 "-" "PostmanRuntime/7.26.3"
::1 - - [11/Sep/2020:21:45:56 +0000] "POST /api/saveCategory HTTP/1.1" 200 53 "-" "PostmanRuntime/7.26.3"
::1 - - [11/Sep/2020:21:55:16 +0000] "GET /api/getAllCategory HTTP/1.1" 200 52 "-" "PostmanRuntime/7.26.3"
::1 - - [11/Sep/2020:21:55:57 +0000] "GET /api/getAllCategory HTTP/1.1" 200 63 "-" "PostmanRuntime/7.26.3"
::1 - - [11/Sep/2020:21:56:38 +0000] "GET /api/getAllCategory HTTP/1.1" 200 795 "-" "PostmanRuntime/7.26.3"
::1 - - [11/Sep/2020:22:04:44 +0000] "POST /api/registration HTTP/1.1" 200 311 "-" "PostmanRuntime/7.26.3"
::1 - - [11/Sep/2020:22:04:49 +0000] "POST /api/registration HTTP/1.1" 200 311 "-" "PostmanRuntime/7.26.3"
::1 - - [11/Sep/2020:22:05:08 +0000] "POST /api/registration HTTP/1.1" 200 311 "-" "PostmanRuntime/7.26.3"
::1 - - [11/Sep/2020:22:06:43 +0000] "POST /api/registration HTTP/1.1" 200 49 "-" "PostmanRuntime/7.26.3"
::1 - - [11/Sep/2020:22:06:55 +0000] "POST /api/registration HTTP/1.1" 200 314 "-" "PostmanRuntime/7.26.3"
::1 - - [11/Sep/2020:22:07:08 +0000] "POST /api/registration HTTP/1.1" 200 49 "-" "PostmanRuntime/7.26.3"
::1 - - [11/Sep/2020:22:07:16 +0000] "POST /api/registration HTTP/1.1" 200 49 "-" "PostmanRuntime/7.26.3"
::1 - - [11/Sep/2020:22:09:28 +0000] "POST /api/login HTTP/1.1" 200 302 "-" "PostmanRuntime/7.26.3"
::1 - - [11/Sep/2020:22:09:32 +0000] "POST /api/login HTTP/1.1" 200 40 "-" "PostmanRuntime/7.26.3"
::1 - - [11/Sep/2020:22:11:14 +0000] "POST /api/login HTTP/1.1" 200 40 "-" "PostmanRuntime/7.26.3"
::1 - - [11/Sep/2020:22:11:21 +0000] "POST /api/login HTTP/1.1" 200 40 "-" "PostmanRuntime/7.26.3"
::1 - - [11/Sep/2020:22:11:41 +0000] "POST /api/login HTTP/1.1" 200 40 "-" "PostmanRuntime/7.26.3"
::1 - - [11/Sep/2020:22:11:59 +0000] "POST /api/login HTTP/1.1" 200 40 "-" "PostmanRuntime/7.26.3"
::1 - - [11/Sep/2020:22:12:05 +0000] "POST /api/login HTTP/1.1" 200 40 "-" "PostmanRuntime/7.26.3"
::1 - - [11/Sep/2020:22:12:18 +0000] "POST /api/login HTTP/1.1" 200 40 "-" "PostmanRuntime/7.26.3"
::1 - - [11/Sep/2020:22:12:56 +0000] "POST /api/login HTTP/1.1" 200 40 "-" "PostmanRuntime/7.26.3"
::1 - - [11/Sep/2020:22:13:32 +0000] "POST /api/login HTTP/1.1" 200 40 "-" "PostmanRuntime/7.26.3"
::1 - - [11/Sep/2020:22:13:49 +0000] "POST /api/login HTTP/1.1" 200 40 "-" "PostmanRuntime/7.26.3"
::1 - - [11/Sep/2020:22:14:02 +0000] "POST /api/login HTTP/1.1" 200 40 "-" "PostmanRuntime/7.26.3"
::1 - - [11/Sep/2020:22:14:34 +0000] "POST /api/login HTTP/1.1" 200 40 "-" "PostmanRuntime/7.26.3"
::1 - - [11/Sep/2020:22:14:45 +0000] "POST /api/login HTTP/1.1" 200 40 "-" "PostmanRuntime/7.26.3"
::1 - - [11/Sep/2020:22:15:13 +0000] "POST /api/login HTTP/1.1" 200 40 "-" "PostmanRuntime/7.26.3"
::1 - - [11/Sep/2020:22:15:24 +0000] "POST /api/login HTTP/1.1" 200 47 "-" "PostmanRuntime/7.26.3"
::1 - - [11/Sep/2020:22:16:20 +0000] "POST /api/login HTTP/1.1" 200 46 "-" "PostmanRuntime/7.26.3"
::1 - - [11/Sep/2020:22:19:56 +0000] "POST /api/login HTTP/1.1" 200 46 "-" "PostmanRuntime/7.26.3"
::1 - - [11/Sep/2020:22:20:03 +0000] "POST /api/registration HTTP/1.1" 200 41 "-" "PostmanRuntime/7.26.3"
::1 - - [11/Sep/2020:22:20:07 +0000] "POST /api/registration HTTP/1.1" 200 41 "-" "PostmanRuntime/7.26.3"
::1 - - [11/Sep/2020:22:20:15 +0000] "POST /api/registration HTTP/1.1" 200 307 "-" "PostmanRuntime/7.26.3"
::1 - - [11/Sep/2020:22:20:29 +0000] "POST /api/registration HTTP/1.1" 200 304 "-" "PostmanRuntime/7.26.3"
::1 - - [11/Sep/2020:22:20:32 +0000] "POST /api/registration HTTP/1.1" 200 55 "-" "PostmanRuntime/7.26.3"
::1 - - [11/Sep/2020:22:20:58 +0000] "POST /api/registration HTTP/1.1" 200 314 "-" "PostmanRuntime/7.26.3"
